SiteName,latitude,longitude,sample_duration,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0076,39.988842,-75.207205,1 HOUR,1/1/2024,Parts per million,0.482609,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/1/2024,Parts per million,0.494737,8,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/2/2024,Parts per million,0.308696,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/2/2024,Parts per million,0.308333,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/3/2024,Parts per million,0.452381,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/3/2024,Parts per million,0.395833,7,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/4/2024,Parts per million,0.404348,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/4/2024,Parts per million,0.4625,8,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/5/2024,Parts per million,0.313043,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/5/2024,Parts per million,0.304167,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/6/2024,Parts per million,0.613043,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/6/2024,Parts per million,0.620833,9,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/7/2024,Parts per million,0.373913,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/7/2024,Parts per million,0.4,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/8/2024,Parts per million,0.426087,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/8/2024,Parts per million,0.391667,7,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/9/2024,Parts per million,0.704348,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/9/2024,Parts per million,0.725,11,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/10/2024,Parts per million,0.385714,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/10/2024,Parts per million,0.416667,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/11/2024,Parts per million,0.408696,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/11/2024,Parts per million,0.370833,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/12/2024,Parts per million,0.608696,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/12/2024,Parts per million,0.625,9,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/13/2024,Parts per million,0.404348,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/13/2024,Parts per million,0.433333,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/14/2024,Parts per million,0.285714,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/14/2024,Parts per million,0.32,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/15/2024,Parts per million,0.282609,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/15/2024,Parts per million,0.258333,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/16/2024,Parts per million,0.36087,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/16/2024,Parts per million,0.3875,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/17/2024,Parts per million,0.219048,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/17/2024,Parts per million,0.2,2,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/18/2024,Parts per million,0.43913,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/18/2024,Parts per million,0.383333,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/19/2024,Parts per million,0.547826,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/19/2024,Parts per million,0.583333,8,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/20/2024,Parts per million,0.226087,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/20/2024,Parts per million,0.254167,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/21/2024,Parts per million,0.26087,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/21/2024,Parts per million,0.220833,5,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,1/22/2024,Parts per million,0.447826,NA,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,8-HR RUN AVG END HOUR,1/22/2024,Parts per million,0.454167,6,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
