SiteName,latitude,longitude,sample_duration,pollutant_standard,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/2/2024,Parts per billion,6.4625,13,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/1/2024,Parts per billion,13.565217,24,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/3/2024,Parts per billion,14.183333,24,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/4/2024,Parts per billion,13.3875,24,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/5/2024,Parts per billion,11.221739,22,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/6/2024,Parts per billion,30.466667,57,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/7/2024,Parts per billion,8.93913,18,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/8/2024,Parts per billion,10.804167,22,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/9/2024,Parts per billion,24.517391,53,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/10/2024,Parts per billion,5.836842,11,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/11/2024,Parts per billion,12.3,26,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/12/2024,Parts per billion,20.070833,29,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/13/2024,Parts per billion,7,11,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/14/2024,Parts per billion,7.4,12,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/15/2024,Parts per billion,15.2,40,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/16/2024,Parts per billion,23.616667,42,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
0076,39.988842,-75.207205,1 HOUR,NO2 1-hour 2010,1/17/2024,Parts per billion,10.294444,16,Car-Barn Montgomery I -76,4100 MONTGOMERY DRIVE
