SiteName,latitude,longitude,sample_duration,pollutant_standard,date_local,units_of_measure,arithmetic_mean,aqi,local_site_name,site_address
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/2/2024,Parts per billion,0.0625,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/1/2024,Parts per billion,0.381818,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/3/2024,Parts per billion,0.678947,4,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/4/2024,Parts per billion,0.416667,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/5/2024,Parts per billion,0.181818,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/6/2024,Parts per billion,0.4375,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/7/2024,Parts per billion,0.027273,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/8/2024,Parts per billion,0.275,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/9/2024,Parts per billion,0.635294,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/10/2024,Parts per billion,1.014286,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/11/2024,Parts per billion,1.054545,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/12/2024,Parts per billion,1.279167,4,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/13/2024,Parts per billion,0.859091,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/14/2024,Parts per billion,0.7625,0,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/15/2024,Parts per billion,1.263636,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/16/2024,Parts per billion,1.1,1,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/17/2024,Parts per billion,1.121053,3,Ritner (RIT),24TH & RITNER STREETS
0055,39.922867,-75.186921,1 HOUR,SO2 Annual 2024,1/18/2024,Parts per billion,1.425,3,Ritner (RIT),24TH & RITNER STREETS
